,index,Workout,Day,Week,Exercise,Sets,Reps,obs,EXERCISE,number,image,Date
39,9,Workout B,2.0,Week 2,2A. Incline DB Chest Press,3.0,10,Set incline to 30 degrees.,2A. Incline DB Chest Press,9.0,<a href=https://doctorwho.com.br/projects/img/09.gif target='blank'><img src=https://doctorwho.com.br/projects/img/09.gif title='rent' width='150' height='150'/></a>,2022-01-03
40,9,Workout B,2.0,Week 2,1B. Dumbbell Split Squat,2.0,12,Hold a dumbbell in each hand.,1B. Dumbbell Split Squat,10.0,<a href=https://doctorwho.com.br/projects/img/10.gif target='blank'><img src=https://doctorwho.com.br/projects/img/10.gif title='rent' width='150' height='150'/></a>,2022-01-03
41,9,Workout B,2.0,Week 2,2B. Single Arm Cable Row,2.0,12,Do not allow torso to rotate.,2B. Single Arm Cable Row,11.0,<a href=https://doctorwho.com.br/projects/img/11.gif target='blank'><img src=https://doctorwho.com.br/projects/img/11.gif title='rent' width='150' height='150'/></a>,2022-01-03
42,9,Workout B,2.0,Week 2,1C. Prowler Drive,2.0,10,,1C. Prowler Drive,12.0,<a href=https://doctorwho.com.br/projects/img/12.gif target='blank'><img src=https://doctorwho.com.br/projects/img/12.gif title='rent' width='150' height='150'/></a>,2022-01-03
43,9,Workout B,2.0,Week 2,2C. Standing Zottman Curls,2.0,10,Use rope attachment.,2C. Standing Zottman Curls,13.0,<a href=https://doctorwho.com.br/projects/img/13.gif target='blank'><img src=https://doctorwho.com.br/projects/img/13.gif title='rent' width='150' height='150'/></a>,2022-01-03
44,9,Workout B,2.0,Week 2,3C. Reverse Crunch,2.0,10,,3C. Reverse Crunch,14.0,<a href=https://doctorwho.com.br/projects/img/14.gif target='blank'><img src=https://doctorwho.com.br/projects/img/14.gif title='rent' width='150' height='150'/></a>,2022-01-03
45,10,Intervals,3.0,Week 2,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-04
46,11,Workout A,4.0,Week 2,1A. Goblet Squat,3.0,12,,1A. Goblet Squat,1.0,<a href=https://doctorwho.com.br/projects/img/01.gif target='blank'><img src=https://doctorwho.com.br/projects/img/01.gif title='rent' width='150' height='150'/></a>,2022-01-05
47,11,Workout A,4.0,Week 2,2A. Chinup/Lat Pulldown,3.0,12,Use band for chinups as needed. Use Lat Pulldown if necessary.,2A. Chinup/Lat Pulldown,2.0,<a href=https://doctorwho.com.br/projects/img/02.gif target='blank'><img src=https://doctorwho.com.br/projects/img/02.gif title='rent' width='150' height='150'/></a>,2022-01-05
48,11,Workout A,4.0,Week 2,1B. Dumbbell Stepups,2.0,10,Step should be at 90-degree knee flexion. Complete all reps for one leg before switching.,1B. Dumbbell Stepups,3.0,<a href=https://doctorwho.com.br/projects/img/03.gif target='blank'><img src=https://doctorwho.com.br/projects/img/03.gif title='rent' width='150' height='150'/></a>,2022-01-05
49,11,Workout A,4.0,Week 2,2B. Single Arm Corner Press,2.0,10,,2B. Single Arm Corner Press,4.0,<a href=https://doctorwho.com.br/projects/img/04.gif target='blank'><img src=https://doctorwho.com.br/projects/img/04.gif title='rent' width='150' height='150'/></a>,2022-01-05
50,11,Workout A,4.0,Week 2,1C. Prowler Chest Press,2.0,12,,1C. Prowler Chest Press,5.0,<a href=https://doctorwho.com.br/projects/img/05.gif target='blank'><img src=https://doctorwho.com.br/projects/img/05.gif title='rent' width='150' height='150'/></a>,2022-01-05
51,11,Workout A,4.0,Week 2,2C. Seated Cable Row,2.0,12,,2C. Seated Cable Row,6.0,<a href=https://doctorwho.com.br/projects/img/06.gif target='blank'><img src=https://doctorwho.com.br/projects/img/06.gif title='rent' width='150' height='150'/></a>,2022-01-05
52,11,Workout A,4.0,Week 2,3C. Paloff Press,2.0,12,,3C. Paloff Press,7.0,<a href=https://doctorwho.com.br/projects/img/07.gif target='blank'><img src=https://doctorwho.com.br/projects/img/07.gif title='rent' width='150' height='150'/></a>,2022-01-05
53,12,Workout B,5.0,Week 2,1A. Trap Bar Deadlift,3.0,10,,1A. Trap Bar Deadlift,8.0,<a href=https://doctorwho.com.br/projects/img/08.gif target='blank'><img src=https://doctorwho.com.br/projects/img/08.gif title='rent' width='150' height='150'/></a>,2022-01-06
54,12,Workout B,5.0,Week 2,2A. Incline DB Chest Press,3.0,10,Set incline to 30 degrees.,2A. Incline DB Chest Press,9.0,<a href=https://doctorwho.com.br/projects/img/09.gif target='blank'><img src=https://doctorwho.com.br/projects/img/09.gif title='rent' width='150' height='150'/></a>,2022-01-06
55,12,Workout B,5.0,Week 2,1B. Dumbbell Split Squat,2.0,12,Hold a dumbbell in each hand.,1B. Dumbbell Split Squat,10.0,<a href=https://doctorwho.com.br/projects/img/10.gif target='blank'><img src=https://doctorwho.com.br/projects/img/10.gif title='rent' width='150' height='150'/></a>,2022-01-06
56,12,Workout B,5.0,Week 2,2B. Single Arm Cable Row,2.0,12,Do not allow torso to rotate.,2B. Single Arm Cable Row,11.0,<a href=https://doctorwho.com.br/projects/img/11.gif target='blank'><img src=https://doctorwho.com.br/projects/img/11.gif title='rent' width='150' height='150'/></a>,2022-01-06
57,12,Workout B,5.0,Week 2,1C. Prowler Drive,2.0,10,,1C. Prowler Drive,12.0,<a href=https://doctorwho.com.br/projects/img/12.gif target='blank'><img src=https://doctorwho.com.br/projects/img/12.gif title='rent' width='150' height='150'/></a>,2022-01-06
58,12,Workout B,5.0,Week 2,2C. Standing Zottman Curls,2.0,10,Use rope attachment.,2C. Standing Zottman Curls,13.0,<a href=https://doctorwho.com.br/projects/img/13.gif target='blank'><img src=https://doctorwho.com.br/projects/img/13.gif title='rent' width='150' height='150'/></a>,2022-01-06
59,12,Workout B,5.0,Week 2,3C. Reverse Crunch,2.0,10,,3C. Reverse Crunch,14.0,<a href=https://doctorwho.com.br/projects/img/14.gif target='blank'><img src=https://doctorwho.com.br/projects/img/14.gif title='rent' width='150' height='150'/></a>,2022-01-06
60,13,Intervals,6.0,Week 2,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-07
61,14,Rest Day,7.0,Week 2,Rest Day,,,,,,,2022-01-08
62,15,Workout A,1.0,Week 3,1A. Goblet Squat,3.0,12,,1A. Goblet Squat,1.0,<a href=https://doctorwho.com.br/projects/img/01.gif target='blank'><img src=https://doctorwho.com.br/projects/img/01.gif title='rent' width='150' height='150'/></a>,2022-01-09
63,15,Workout A,1.0,Week 3,2A. Chinup/Lat Pulldown,3.0,12,Use band for chinups as needed. Use Lat Pulldown if necessary.,2A. Chinup/Lat Pulldown,2.0,<a href=https://doctorwho.com.br/projects/img/02.gif target='blank'><img src=https://doctorwho.com.br/projects/img/02.gif title='rent' width='150' height='150'/></a>,2022-01-09
64,15,Workout A,1.0,Week 3,1B. Dumbbell Stepups,3.0,12,Step should be at 90-degree knee flexion. Complete all reps for one leg before switching.,1B. Dumbbell Stepups,3.0,<a href=https://doctorwho.com.br/projects/img/03.gif target='blank'><img src=https://doctorwho.com.br/projects/img/03.gif title='rent' width='150' height='150'/></a>,2022-01-09
65,15,Workout A,1.0,Week 3,2B. Single Arm Corner Press,3.0,12,,2B. Single Arm Corner Press,4.0,<a href=https://doctorwho.com.br/projects/img/04.gif target='blank'><img src=https://doctorwho.com.br/projects/img/04.gif title='rent' width='150' height='150'/></a>,2022-01-09
66,15,Workout A,1.0,Week 3,1C. Prowler Chest Press,3.0,10,,1C. Prowler Chest Press,5.0,<a href=https://doctorwho.com.br/projects/img/05.gif target='blank'><img src=https://doctorwho.com.br/projects/img/05.gif title='rent' width='150' height='150'/></a>,2022-01-09
67,15,Workout A,1.0,Week 3,2C. Seated Cable Row,3.0,10,,2C. Seated Cable Row,6.0,<a href=https://doctorwho.com.br/projects/img/06.gif target='blank'><img src=https://doctorwho.com.br/projects/img/06.gif title='rent' width='150' height='150'/></a>,2022-01-09
68,15,Workout A,1.0,Week 3,3C. Paloff Press,3.0,10,,3C. Paloff Press,7.0,<a href=https://doctorwho.com.br/projects/img/07.gif target='blank'><img src=https://doctorwho.com.br/projects/img/07.gif title='rent' width='150' height='150'/></a>,2022-01-09
69,16,Workout B,2.0,Week 3,1A. Trap Bar Deadlift,4.0,12,,1A. Trap Bar Deadlift,8.0,<a href=https://doctorwho.com.br/projects/img/08.gif target='blank'><img src=https://doctorwho.com.br/projects/img/08.gif title='rent' width='150' height='150'/></a>,2022-01-10
70,16,Workout B,2.0,Week 3,2A. Incline DB Chest Press,4.0,12,Set incline to 30 degrees.,2A. Incline DB Chest Press,9.0,<a href=https://doctorwho.com.br/projects/img/09.gif target='blank'><img src=https://doctorwho.com.br/projects/img/09.gif title='rent' width='150' height='150'/></a>,2022-01-10
71,16,Workout B,2.0,Week 3,1B. Dumbbell Split Squat,3.0,10,Hold a dumbbell in each hand.,1B. Dumbbell Split Squat,10.0,<a href=https://doctorwho.com.br/projects/img/10.gif target='blank'><img src=https://doctorwho.com.br/projects/img/10.gif title='rent' width='150' height='150'/></a>,2022-01-10
72,16,Workout B,2.0,Week 3,2B. Single Arm Cable Row,3.0,10,Do not allow torso to rotate.,2B. Single Arm Cable Row,11.0,<a href=https://doctorwho.com.br/projects/img/11.gif target='blank'><img src=https://doctorwho.com.br/projects/img/11.gif title='rent' width='150' height='150'/></a>,2022-01-10
73,16,Workout B,2.0,Week 3,1C. Prowler Drive,3.0,12,,1C. Prowler Drive,12.0,<a href=https://doctorwho.com.br/projects/img/12.gif target='blank'><img src=https://doctorwho.com.br/projects/img/12.gif title='rent' width='150' height='150'/></a>,2022-01-10
74,16,Workout B,2.0,Week 3,2C. Standing Zottman Curls,3.0,12,Use rope attachment.,2C. Standing Zottman Curls,13.0,<a href=https://doctorwho.com.br/projects/img/13.gif target='blank'><img src=https://doctorwho.com.br/projects/img/13.gif title='rent' width='150' height='150'/></a>,2022-01-10
75,16,Workout B,2.0,Week 3,3C. Reverse Crunch,3.0,12,,3C. Reverse Crunch,14.0,<a href=https://doctorwho.com.br/projects/img/14.gif target='blank'><img src=https://doctorwho.com.br/projects/img/14.gif title='rent' width='150' height='150'/></a>,2022-01-10
76,17,Intervals,3.0,Week 3,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-11
77,18,Workout A,4.0,Week 3,1A. Goblet Squat,3.0,12,,1A. Goblet Squat,1.0,<a href=https://doctorwho.com.br/projects/img/01.gif target='blank'><img src=https://doctorwho.com.br/projects/img/01.gif title='rent' width='150' height='150'/></a>,2022-01-12
78,18,Workout A,4.0,Week 3,2A. Chinup/Lat Pulldown,3.0,12,Use band for chinups as needed. Use Lat Pulldown if necessary.,2A. Chinup/Lat Pulldown,2.0,<a href=https://doctorwho.com.br/projects/img/02.gif target='blank'><img src=https://doctorwho.com.br/projects/img/02.gif title='rent' width='150' height='150'/></a>,2022-01-12
79,18,Workout A,4.0,Week 3,1B. Dumbbell Stepups,3.0,12,Step should be at 90-degree knee flexion. Complete all reps for one leg before switching.,1B. Dumbbell Stepups,3.0,<a href=https://doctorwho.com.br/projects/img/03.gif target='blank'><img src=https://doctorwho.com.br/projects/img/03.gif title='rent' width='150' height='150'/></a>,2022-01-12
80,18,Workout A,4.0,Week 3,2B. Single Arm Corner Press,3.0,12,,2B. Single Arm Corner Press,4.0,<a href=https://doctorwho.com.br/projects/img/04.gif target='blank'><img src=https://doctorwho.com.br/projects/img/04.gif title='rent' width='150' height='150'/></a>,2022-01-12
81,18,Workout A,4.0,Week 3,1C. Prowler Chest Press,3.0,10,,1C. Prowler Chest Press,5.0,<a href=https://doctorwho.com.br/projects/img/05.gif target='blank'><img src=https://doctorwho.com.br/projects/img/05.gif title='rent' width='150' height='150'/></a>,2022-01-12
82,18,Workout A,4.0,Week 3,2C. Seated Cable Row,3.0,10,,2C. Seated Cable Row,6.0,<a href=https://doctorwho.com.br/projects/img/06.gif target='blank'><img src=https://doctorwho.com.br/projects/img/06.gif title='rent' width='150' height='150'/></a>,2022-01-12
83,18,Workout A,4.0,Week 3,3C. Paloff Press,3.0,10,,3C. Paloff Press,7.0,<a href=https://doctorwho.com.br/projects/img/07.gif target='blank'><img src=https://doctorwho.com.br/projects/img/07.gif title='rent' width='150' height='150'/></a>,2022-01-12
84,19,Workout B,5.0,Week 3,1A. Trap Bar Deadlift,4.0,12,,1A. Trap Bar Deadlift,8.0,<a href=https://doctorwho.com.br/projects/img/08.gif target='blank'><img src=https://doctorwho.com.br/projects/img/08.gif title='rent' width='150' height='150'/></a>,2022-01-13
85,19,Workout B,5.0,Week 3,2A. Incline DB Chest Press,4.0,12,Set incline to 30 degrees.,2A. Incline DB Chest Press,9.0,<a href=https://doctorwho.com.br/projects/img/09.gif target='blank'><img src=https://doctorwho.com.br/projects/img/09.gif title='rent' width='150' height='150'/></a>,2022-01-13
86,19,Workout B,5.0,Week 3,1B. Dumbbell Split Squat,3.0,10,Hold a dumbbell in each hand.,1B. Dumbbell Split Squat,10.0,<a href=https://doctorwho.com.br/projects/img/10.gif target='blank'><img src=https://doctorwho.com.br/projects/img/10.gif title='rent' width='150' height='150'/></a>,2022-01-13
87,19,Workout B,5.0,Week 3,2B. Single Arm Cable Row,3.0,10,Do not allow torso to rotate.,2B. Single Arm Cable Row,11.0,<a href=https://doctorwho.com.br/projects/img/11.gif target='blank'><img src=https://doctorwho.com.br/projects/img/11.gif title='rent' width='150' height='150'/></a>,2022-01-13
88,19,Workout B,5.0,Week 3,1C. Prowler Drive,3.0,12,,1C. Prowler Drive,12.0,<a href=https://doctorwho.com.br/projects/img/12.gif target='blank'><img src=https://doctorwho.com.br/projects/img/12.gif title='rent' width='150' height='150'/></a>,2022-01-13
89,19,Workout B,5.0,Week 3,2C. Standing Zottman Curls,3.0,12,Use rope attachment.,2C. Standing Zottman Curls,13.0,<a href=https://doctorwho.com.br/projects/img/13.gif target='blank'><img src=https://doctorwho.com.br/projects/img/13.gif title='rent' width='150' height='150'/></a>,2022-01-13
90,19,Workout B,5.0,Week 3,3C. Reverse Crunch,3.0,12,,3C. Reverse Crunch,14.0,<a href=https://doctorwho.com.br/projects/img/14.gif target='blank'><img src=https://doctorwho.com.br/projects/img/14.gif title='rent' width='150' height='150'/></a>,2022-01-13
91,20,Intervals,6.0,Week 3,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-14
92,21,Rest Day,7.0,Week 3,Rest Day,,,,,,,2022-01-15
93,22,Workout A,1.0,Week 4,1. Rower,1.0,500m,,1. Rower,16.0,<a href=https://doctorwho.com.br/projects/img/16.gif target='blank'><img src=https://doctorwho.com.br/projects/img/16.gif title='rent' width='150' height='150'/></a>,2022-01-16
94,22,Workout A,1.0,Week 4,2. Trap Bar Deadlift,10.0,3,"One set on the minute, every minute.",2. Trap Bar Deadlift,17.0,<a href=https://doctorwho.com.br/projects/img/17.gif target='blank'><img src=https://doctorwho.com.br/projects/img/17.gif title='rent' width='150' height='150'/></a>,2022-01-16
95,22,Workout A,1.0,Week 4,1B. Lying Hamstring Curl,3.0,8,,1B. Lying Hamstring Curl,18.0,<a href=https://doctorwho.com.br/projects/img/18.gif target='blank'><img src=https://doctorwho.com.br/projects/img/18.gif title='rent' width='150' height='150'/></a>,2022-01-16
96,22,Workout A,1.0,Week 4,2B. Sandbag Split Squat,3.0,8,,2B. Sandbag Split Squat,19.0,<a href=https://doctorwho.com.br/projects/img/19.gif target='blank'><img src=https://doctorwho.com.br/projects/img/19.gif title='rent' width='150' height='150'/></a>,2022-01-16
97,22,Workout A,1.0,Week 4,3B. Backwards Prowler Drive,3.0,20m,,3B. Backwards Prowler Drive,20.0,<a href=https://doctorwho.com.br/projects/img/20.gif target='blank'><img src=https://doctorwho.com.br/projects/img/20.gif title='rent' width='150' height='150'/></a>,2022-01-16
98,22,Workout A,1.0,Week 4,4. Rower,1.0,500m,,4. Rower,21.0,<a href=https://doctorwho.com.br/projects/img/21.gif target='blank'><img src=https://doctorwho.com.br/projects/img/21.gif title='rent' width='150' height='150'/></a>,2022-01-16
99,23,Intervals,2.0,Week 4,Cardio: 30-60-90 Intervals,,,,Cardio: 30-60-90 Intervals,15.0,<a href=https://doctorwho.com.br/projects/img/15.gif target='blank'><img src=https://doctorwho.com.br/projects/img/15.gif title='rent' width='150' height='150'/></a>,2022-01-17
